County Name	Local Authority Desc	Roll No.	Official School Name	Address Line 1	Address Line 2	Address Line 3	Address Line 4	Phone Number	Email Address	Ethos/Religion Desc	Island Ind (Y/N)	Irish Classification Description	DEIS (Y/N)	Total Boys	Total Girls	Total Pupils
Carlow	Carlow County Council	00651R	BORRIS MXD N S	BORRIS	CO CARLOW			599773402	borrismixedns@gmail.com	CATHOLIC	N	No Irish	N	104	103	207
Carlow	Carlow County Council	00977B	BALLYCONNELL N S	Ballyconnell	Tullow	Co Carlow		599156226	ballyconnellnationalschool@gmail.com	CATHOLIC	N	No Irish	N	79	82	161
Carlow	Carlow County Council	01116A	BAILE AN CHUILINN N S	MUINEBEAG	CO CARLOW			599775153	ballinkillenschool@gmail.com	CATHOLIC	N	No Irish	N	53	54	107
Carlow	Carlow County Council	01215C	NEWTOWN DUNLECKNEY MXD	MUINEBEAG	CO CARLOW			599727299	newtown1.ias@eircom.net	CATHOLIC	N	No Irish	N	71	60	131
Carlow	Carlow County Council	01415K	RATHOE NS	RATHOE	CO CARLOW			599148786	info@rathoens.com	CATHOLIC	N	No Irish	N	98	89	187
Carlow	Carlow County Council	02124E	SCOIL NAIS MOLAISE	OLD LEIGHLIN	VIA BILBOA	CO CARLOW		599722166	oldleighlinns@eircom.net	CATHOLIC	N	No Irish	N	74	57	131
Carlow	Carlow County Council	04077I	SCOIL NAIS BHRIDE	GRANGE	TULLOW	CO CARLOW		599163881	grangens@ymail.com	CATHOLIC	N	No Irish	N	90	83	173
Carlow	Carlow County Council	09320Q	SCOIL NAIS MHUIRE	DROIMFEIGH	BAGENALSTOWN	CO CARLOW		599727316	drumpheans@gmail.com	CATHOLIC	N	No Irish	N	51	45	96
Carlow	Carlow County Council	11135K	ST MARYS N S	MUINEBEAG	CO CARLOW			599721021	royaloakroad.ias@eircom.net	CHURCH OF IRELAND	N	No Irish	N	42	42	84
Carlow	Carlow County Council	13105L	ST BRIDGETS MONASTERY	MUINEBEAG	CO CARLOW			599721984	sbpupil.ias@eircom.net	CATHOLIC	N	No Irish	N	111	1	112
Carlow	Carlow County Council	13507I	S N MUIRE LOURDES	TULLOW	CO CARLOW			599151875	prtullowgns@eircom.net	CATHOLIC	N	No Irish	N	0	215	215
Carlow	Carlow County Council	13607M	ST COLUMBAS N S	TULLOW	CO CARLOW			599151873	stcolumbasnstullow@eircom.net	CHURCH OF IRELAND	N	No Irish	N	34	34	68
Carlow	Carlow County Council	14837L	S N PEADAR AGUS POL	BALLON	CO CARLOW			599159280	ballons.ias@eircom.net	CATHOLIC	N	No Irish	N	146	135	281
Carlow	Carlow County Council	16080N	S N PHADRAIG NAOFA	PATRICIAN BROTHERS	TULLOW	CO CARLOW		599151625	mnstullow.ias@eircom.net	CATHOLIC	N	No Irish	N	213	0	213
Carlow	Carlow County Council	16938E	FR CULLEN MEMORIAL N S	TINRYLAND	CO CARLOW			599132156	tinrylandns1@gmail.com	CATHOLIC	N	No Irish	N	77	92	169
Carlow	Carlow County Council	17053P	BISHOP FOLEY MEMORIAL SCHOOL	Station Road	Co Carlow			599142919	bfscarlow.ias@eircom.net	CATHOLIC	N	No Irish	N	277	0	277
Carlow	Carlow County Council	17096K	S N NMH FHINGIN	GARRYHILL	MUINEBHEAG	CO CARLOW		599727355	garryhillschool@gmail.com	CATHOLIC	N	No Irish	Y	25	14	39
Carlow	Carlow County Council	17127S	ST JOSEPHS NS	HACKETSTOWN	CO CARLOW			596471199	htownns@gmail.com	CATHOLIC	N	No Irish	Y	69	69	138
Carlow	Carlow County Council	17330P	SCOIL N MOLING-GLYNN	ST MULLINS	KILKENNY			51424892	glynn.ias@eircom.net	CATHOLIC	N	No Irish	N	21	35	56
Carlow	Carlow County Council	17462J	SCOIL NAIS MHICHIL	BAILE NUA	BORRIS	CO CARLOW		599724499	stmichaels.mewtown@gmail.com	CATHOLIC	N	No Irish	N	24	22	46
